,Onderwerp,Aanvangstijd,Status,ActorCount
0,Digitale infrastructuur en economie,,Gepland,0
1,Opkomende en toekomstige technologieën,,Gepland,0
2,Digitaal burgerschap en democratie,,Gepland,0
3,Digitaliserende overheid,,Gepland,0
4,Telecomraad (formeel) d.d. 3 december 2021 ,2021-11-24T10:00:00+01:00,Uitgevoerd,7
5,Online veiligheid en cybersecurity,2021-12-01T14:00:00+01:00,Uitgevoerd,12
6,Lekken van privégegevens bij de Kamer van Koophandel,2022-02-03T10:00:00+01:00,Uitgevoerd,9
7,"Digitale overheid, datagebruik en algoritmen, digitale identiteit",2022-03-22T17:00:00+01:00,Uitgevoerd,12
8,Online veiligheid en cybersecurity,2022-04-07T13:30:00+02:00,Uitgevoerd,10
9,"Informatiehuishouding op orde, ICT-projecten en informatiebeveiliging",2022-04-13T10:00:00+02:00,Uitgevoerd,9
10,Eventuele anticipatie wetsvoorstel tot wijziging Wet beveiliging netwerk- en informatiesystemen,2022-05-25T16:00:00+02:00,Uitgevoerd,8
11,Telecomraad (Formeel) d.d. 3 juni 2022,2022-05-31T16:30:00+02:00,Uitgevoerd,8
12,Online veiligheid en cybersecurity,2022-09-14T10:00:00+02:00,Gepland,3
13,Inzet algoritmes en data-ethiek binnen de rijksoverheid,2022-09-29T13:30:00+02:00,Gepland,3
14,Kunstmatige intelligentie,2022-10-06T10:00:00+02:00,Gepland,4
15,Bescherming persoonsgegevens en digitale grondrechten,2022-10-20T13:00:00+02:00,Gepland,4
16,Telecomraad (Formeel) d.d. 6 december 2022,2022-11-30T10:00:00+01:00,Gepland,2
